
Sync-Point 0, Time: 0.015625, Redshift: 63, Nf = 0016777216, Systemstep: 0, Dloga: 0
Sync-Point 108, Time: 0.0967804, Redshift: 9.33267, Nf = 0000000002, Systemstep: 0.000392268, Dloga: 0.00406141

Sync-Point 109, Time: 0.0971743, Redshift: 9.29079, Nf = 0000003933, Systemstep: 0.000393864, Dloga: 0.00406141

Sync-Point 110, Time: 0.0979669, Redshift: 9.20753, Nf = 0003434206, Systemstep: 0.000792544, Dloga: 0.00812282

Sync-Point 111, Time: 0.0983655, Redshift: 9.16616, Nf = 0000000001, Systemstep: 0.000398693, Dloga: 0.00406141

Sync-Point 112, Time: 0.0987659, Redshift: 9.12496, Nf = 0000004963, Systemstep: 0.000400315, Dloga: 0.00406141

Sync-Point 113, Time: 0.0991678, Redshift: 9.08392, Nf = 0000000003, Systemstep: 0.000401944, Dloga: 0.00406141

Sync-Point 114, Time: 0.0995714, Redshift: 9.04305, Nf = 0016777216, Systemstep: 0.00040358, Dloga: 0.00406141

Sync-Point 115, Time: 0.0999766, Redshift: 9.00234, Nf = 0000000002, Systemstep: 0.000405222, Dloga: 0.00406141

Sync-Point 116, Time: 0.100383, Redshift: 8.9618, Nf = 0000006150, Systemstep: 0.000406872, Dloga: 0.00406141

Sync-Point 117, Time: 0.100792, Redshift: 8.92142, Nf = 0000000003, Systemstep: 0.000408527, Dloga: 0.00406141

Sync-Point 118, Time: 0.101202, Redshift: 8.88121, Nf = 0003889284, Systemstep: 0.00041019, Dloga: 0.00406141

Sync-Point 119, Time: 0.101614, Redshift: 8.84116, Nf = 0000000003, Systemstep: 0.000411859, Dloga: 0.00406141

Sync-Point 120, Time: 0.102028, Redshift: 8.80127, Nf = 0000007538, Systemstep: 0.000413535, Dloga: 0.00406141

Sync-Point 121, Time: 0.102443, Redshift: 8.76154, Nf = 0000000001, Systemstep: 0.000415218, Dloga: 0.00406141

Sync-Point 122, Time: 0.10286, Redshift: 8.72198, Nf = 0016777216, Systemstep: 0.000416908, Dloga: 0.00406141

Sync-Point 123, Time: 0.103278, Redshift: 8.68257, Nf = 0000000007, Systemstep: 0.000418605, Dloga: 0.00406141

Sync-Point 124, Time: 0.103699, Redshift: 8.64333, Nf = 0000009188, Systemstep: 0.000420308, Dloga: 0.00406141

